,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,truck_0,truck_1,truck_2,truck_3,depot_0,depot_1,depot_2,depot_3
f_0,0.0,111.73182178770737,49.040799340956916,53.08483775994799,13.038404810405298,80.15609770940699,12.36931687685298,40.44749683231337,77.78174593052023,71.19691004531025,72.13875518748573,11.704699910719626,14.866068747318506,69.72087205421343,55.57877292636101,31.304951684997057,65.55150646628954,48.08326112068523,17.08800749063506,40.792156108742276,43.41658669218482,63.34824385884742,33.12099032335839,68.06614430096654,33.06055050963308,46.861498055439924,19.4164878389476,109.62207806824317,58.69412236331676,74.24284477308234,90.4267659490264,79.32212806020776,32.0624390837628,12.806248474865697,10.816653826391969,103.32473082471591,98.79271228182775,44.181444068749045,52.03844732503075,39.11521443121589,70.83784299369935,35.510561809129406,46.010868281309364,89.81091247727082,88.50988645343524,68.26419266350405,95.67131231461184,7.0,80.06247560499239,50.35871324805669,40.496913462633174,81.8413098624405,57.42821606144492,90.21086409075129,93.03762679690406,19.313207915827967,52.952809179494906,55.226805085936306,47.38143096192854,79.2464510246358,27.85677655436824,87.6184911990614,40.24922359499622,44.01136216933077,65.80273550544841,66.21933252457322,58.69412236331676,23.021728866442675,61.61168720299745,65.79513659838392,43.86342439892262,53.08483775994799,51.54609587543949,107.81465577554843,75.0,90.55385138137417,95.13148795220224,67.62396025078685,80.95677859203639,70.2353187506115,57.38466694161429,74.41102068914255,108.30050784737807,11.0,54.3323108288245,25.0,70.09279563550022,38.0,60.14149981501958,75.21303078589507,112.44998888394787,21.95449840010015,84.72307831990054,77.33692520394123,94.76286192385707,79.61155694998057,65.25335240430181,56.22277118748239,89.69392398596462,82.13403679352427,55.97320787662612,102.00490184299969,62.48199740725323,79.0,43.01162633521314,51.478150704935004,77.23341245859851,71.11258679024411
f_1,111.73182178770737,0.0,70.66116330771806,80.95677859203639,121.82774724995944,83.0,106.04244433244644,82.365041127896,91.00549433962765,67.47592163134935,39.698866482558415,117.29023829799307,96.87620966986684,88.68483523128404,89.56003573022959,82.80096617793781,57.245087125446844,99.29753269845128,119.63277142990545,94.847245611035,71.28113354878694,68.8839603971781,106.94391053257777,83.60023923410746,93.53608929178085,65.29931086925804,95.90099061010788,2.23606797749979,60.83584469702052,47.53945729601885,25.0,36.76955262170047,89.88882021697692,98.99494936611664,122.3315167894194,10.198039027185569,26.30589287593181,90.62008607367353,86.02325267042627,74.2024258363566,56.515484603779164,85.58621384311844,65.85590330410783,24.698178070456937,31.400636936215164,84.8528137423857,18.027756377319946,106.83164325236227,65.00769185258002,79.12016177940993,72.47068372797375,33.61547262794322,88.05679985100527,25.96150997149434,38.2099463490856,129.5569372901351,93.68030742904295,56.72741841473134,91.4166286842826,32.55764119219941,103.24727599312246,26.40075756488817,74.4043009509531,86.81589716175259,62.81719509815764,64.53681120105021,94.83142938920619,89.1403387922662,94.14881836751856,54.78138369920935,67.88225099390856,80.95677859203639,69.31810730249347,8.246211251235321,80.05623023850174,21.2602916254693,18.384776310850235,54.08326913195984,45.27692569068709,48.46648326421054,62.16912416947821,37.64306044943742,7.280109889280518,119.6703806294607,87.93179174792243,110.6752004741803,95.75489543621255,89.44271909999159,51.73973328110612,39.81205847478876,3.605551275463989,107.89810007595129,61.07372593840988,35.510561809129406,17.204650534085253,37.33630940518894,63.324560795950255,78.16009211867653,44.10215414239989,30.23243291566195,99.72462083156798,18.24828759089466,49.678969393496885,80.00624975587844,69.81403870282824,91.09335870413386,34.828149534535996,84.29116205154607
f_2,49.040799340956916,70.66116330771806,0.0,15.652475842498529,61.68468205316454,81.05553651663777,39.44616584663204,46.14108798023731,41.773197148410844,24.331050121192877,33.54101966249684,50.47771785649585,36.49657518178932,76.4198926981712,66.03029607687671,18.24828759089466,49.193495504995376,31.0,62.96824596572466,58.69412236331676,8.94427190999916,16.492422502470642,63.150613615387776,29.732137494637012,23.021728866442675,16.401219466856727,42.04759208325728,68.87670143089025,43.56604182158393,26.248809496813376,46.32493928760188,49.040799340956916,46.486557196677836,38.63935817272331,59.61543424315552,60.90155991434045,67.26812023536856,21.095023109728988,19.924858845171276,13.601470508735444,55.036351623268054,15.556349186104045,18.439088914585774,54.74486277268398,58.008620049092706,72.83543093852057,52.839379254491625,47.07440918375928,70.2353187506115,11.704699910719626,29.410882339705484,50.00999900019995,66.40030120413611,56.43580423808985,67.26812023536856,68.35202996254024,27.65863337187866,20.615528128088304,23.021728866442675,41.773197148410844,56.71860364994893,52.61178575186362,33.83784863137726,54.20332093147061,17.11724276862369,18.0,72.11102550927978,33.06055050963308,73.81734213584231,47.01063709417264,21.93171219946131,15.652475842498529,43.86342439892262,69.28924880528002,33.61547262794322,51.54609587543949,57.97413216254298,48.84669896727925,32.449961479175904,46.84015371452148,43.266615305567875,39.11521443121589,65.5133574166368,59.481089431852205,63.8200595424354,61.07372593840988,81.05553651663777,18.788294228055936,24.08318915758459,30.886890422961002,70.32780389006896,57.0350769263968,72.09022125087424,35.4682957019364,53.71219600798314,50.08991914547278,54.378304497290095,15.620499351813308,67.08203932499369,40.85339643163099,73.43023900274328,57.0087712549569,31.575306807693888,37.12142238654117,13.601470508735444,24.515301344262525,41.30375285612676,32.64965543462902
f_3,53.08483775994799,80.95677859203639,15.652475842498529,0.0,66.12110101926616,96.40020746865642,41.43669871020132,59.81638571495272,27.784887978899608,19.72308292331602,47.01063709417264,50.96076922496363,43.73785545725808,91.2414379544733,80.15609770940699,27.313000567495326,64.8459713474939,18.384776310850235,69.06518659932803,71.34423592694787,23.430749027719962,13.45362404707371,73.7360156233031,16.15549442140351,20.615528128088304,31.906112267087632,51.54609587543949,79.40403012442127,59.16924876994806,33.61547262794322,55.97320787662612,63.63961030678928,58.66856057549052,45.5411901469428,62.64982043070834,70.83784299369935,81.00617260431454,11.40175425099138,5.0990195135927845,26.90724809414742,70.68238818828917,18.24828759089466,33.83784863137726,68.0294054067798,72.24956747275377,87.78382538941898,62.93647591023825,53.150729063673246,85.88364221433555,4.242640687119285,43.840620433565945,64.28063471995279,80.72174428244226,70.0,82.03657720797473,71.7007670809734,13.038404810405298,36.05551275463989,10.816653826391969,55.00909015790027,67.06713054842886,66.007575322837,48.104053883222775,67.80117993073571,18.867962264113206,17.804493814764857,86.05230967266364,43.08131845707603,87.96590248499699,62.64982043070834,37.013511046643494,0.0,59.033888572581766,80.8084154033477,22.20360331117452,63.63961030678928,70.45565981523414,64.47480127925948,37.73592452822641,62.297672508690084,58.83026432033091,53.150729063673246,75.02666192761077,64.07027391856539,77.98717843338096,70.09279563550022,95.524865872714,15.297058540778355,39.05124837953327,41.773197148410844,80.05623023850174,65.96969000988257,87.72684879784524,47.38143096192854,64.76109943476871,64.77653896280658,69.9714227381436,3.605551275463989,82.22530024268686,52.61178575186362,86.83893136145792,65.30696746902278,46.84015371452148,26.1725046566048,28.42534080710379,10.198039027185569,55.036351623268054,19.313207915827967
f_4,13.038404810405298,121.82774724995944,61.68468205316454,66.12110101926616,0.0,81.39410298049853,25.079872407968907,45.18849411078001,90.55385138137417,84.17244204607586,82.61961026293939,19.72308292331602,25.942243542145693,70.06425622241343,56.22277118748239,43.657759905886145,72.20110802473879,60.41522986797286,7.615773105863909,41.30375285612676,55.54277630799526,76.2954782408499,30.14962686336267,81.02468759581859,46.010868281309364,57.982756057296896,26.248809496813376,119.6703806294607,65.73431371817918,86.4060183089118,101.51354589413178,87.96590248499699,36.24913792078372,23.706539182259394,6.4031242374328485,113.85077953180645,107.00467279516349,57.07889277132134,65.00769185258002,50.99019513592785,76.94153624668537,48.507731342539614,56.859475903318,99.03534722511958,96.82974749528164,69.35416353759881,106.40018796975878,15.264337522473747,84.11896337925236,63.387695966961914,49.49747468305833,90.68627239003708,58.309518948453004,99.15644204992432,100.16985574512923,7.810249675906654,65.62011886609167,66.03029607687671,60.207972893961475,89.27485648266257,27.16615541441225,96.89685237405806,48.27007354458868,46.57252408878007,78.587530817554,79.07591289387686,58.008620049092706,32.802438933713454,61.00819617067857,72.94518489934754,54.20332093147061,66.12110101926616,57.8013840664737,117.37972567696688,88.0056816347672,100.56838469419701,104.65180361560903,74.62573282722254,93.23089616645332,78.00640999302557,64.35060217278468,84.21995013059554,118.84864324004712,2.23606797749979,55.44366510251645,21.095023109728988,69.1158447825099,51.0098029794274,70.80254232723568,86.6083136886985,122.78843593759146,20.09975124224178,89.19641248391103,88.23264701911646,105.11898020814318,88.09086218218096,70.68238818828917,69.26037828369117,96.25487000666512,92.80086206496145,54.230987451824994,113.1591799192624,72.18032973047436,92.00543462209176,54.589376255824725,64.28063471995279,87.04596486914255,84.0535543567314
f_5,80.15609770940699,83.0,81.05553651663777,96.40020746865642,81.39410298049853,0.0,84.72307831990054,41.48493702538308,122.494897852931,100.56838469419701,64.41273166075166,91.44397191723465,70.61161377563892,12.083045973594572,25.179356624028344,73.79024325749306,34.66987164671943,106.94391053257777,74.81310045707235,40.11234224026316,73.00684899377592,94.75230867899737,52.172789842982326,110.5350623105628,90.37698822156003,64.66065264130884,61.66036003787198,81.00617260431454,38.2099463490856,84.59905436823747,79.6994353806851,50.96076922496363,48.507731342539614,71.19691004531025,86.09297300012354,81.61494961096282,57.14017850864661,97.24710792614863,99.86490875177326,70.178344238091,30.870698080866262,84.11896337925236,62.625873247404705,60.67124524847005,52.23983154643591,12.041594578792296,78.85429601486528,73.17103251970687,18.027756377319946,92.20086767487604,53.33854141237835,53.600373133029585,23.08679276123039,58.42088667591412,45.17742799230607,87.96590248499699,106.53168542738823,62.96824596572466,100.4987562112089,62.96824596572466,54.230987451824994,60.01666435249463,49.64876634922564,36.22154055254967,91.35097153287424,93.43446901438462,24.698178070456937,63.60031446463138,21.93171219946131,37.73592452822641,59.405386961116584,96.40020746865642,37.44329045369811,75.02666192761077,113.13708498984761,68.4470598345904,66.37017402418047,36.71511950137164,90.0499861188218,42.04759208325728,38.18376618407357,59.09314681077663,85.28774824088158,80.22468448052632,26.019223662515376,60.8276253029822,16.97056274847714,90.82400563727631,62.625873247404705,75.17978451685,86.02325267042627,61.29437168288782,22.20360331117452,70.68238818828917,74.33034373659252,49.72926703662542,27.80287754891569,96.67471230885562,39.11521443121589,70.57619995437555,29.966648127543394,87.86353054595519,55.21775076911409,116.0,68.00735254367721,103.46496991735899,60.166435825965294,113.27841806805037
f_6,12.36931687685298,106.04244433244644,39.44616584663204,41.43669871020132,25.079872407968907,84.72307831990054,0.0,43.41658669218482,65.49045732013177,60.166435825965294,66.40030120413611,11.313708498984761,14.142135623730951,75.28612089887484,61.35144660071187,23.345235059857504,65.11528238439882,35.73513677041127,29.410882339705484,47.4236228055175,35.38361202590826,52.49761899362675,42.5205832509386,56.0,21.02379604162864,40.80441152620633,23.40939982143925,104.01922899156675,58.05170109479997,65.45991139621256,83.43860018001261,76.05918747922567,36.40054944640259,13.601470508735444,21.213203435596427,97.082439194738,95.75489543621255,32.01562118716424,40.01249804748511,31.89043743820395,70.8590149522275,24.698178070456937,40.496913462633174,85.58621384311844,85.492689745966,73.24616030891995,89.19641248391103,15.620499351813308,82.00609733428362,39.05124837953327,38.3275357934736,78.26237921249263,62.93647591023825,86.35392289873113,91.39474820797966,30.265491900843113,40.607881008493905,49.4064773081425,35.12833614050059,74.06078584514209,36.40054944640259,83.35466393669883,39.45883931389772,48.76474136094644,55.54277630799526,55.71355310873648,65.39113089708727,22.02271554554524,68.15423684555495,64.76109943476871,39.35733730830886,41.43669871020132,52.15361924162119,102.90286682109493,63.071388124885914,85.21150157109074,90.4267659490264,66.70832032063167,71.8679344353238,68.30812543175226,56.88585061331157,69.6419413859206,101.9803902718557,23.194827009486403,59.77457653551382,35.4682957019364,76.69419795525604,26.1725046566048,54.405882034941776,67.89698078707183,106.4048871058092,31.827660925679098,86.14522621712709,70.83784299369935,88.86506625215557,76.55716818169282,66.18912297349165,44.721359549995796,88.76936408468859,75.92759709091287,63.52952069707436,94.79451460923254,58.180752831155424,67.06713054842886,36.235341863986875,39.20459156782532,72.40165743959182,59.00847396772772
f_7,40.44749683231337,82.365041127896,46.14108798023731,59.81638571495272,45.18849411078001,41.48493702538308,43.41658669218482,0.0,87.41853350405736,69.46221994724903,47.07440918375928,51.03920062069938,29.274562336608895,33.12099032335839,20.518284528683193,34.058772731852805,27.65863337187866,67.20119046564577,40.496913462633174,14.0,37.21558813185679,62.16912416947821,24.596747752497688,75.45197147855052,49.92995093127971,31.622776601683793,21.095023109728988,80.1311425102625,22.02271554554524,60.29925372672534,66.94027188471824,46.04345773288535,8.94427190999916,30.066592756745816,48.38388161361178,76.15773105863909,63.655321851358195,58.137767414994535,62.289646009589745,33.015148038438355,31.906112267087632,44.68780594300866,29.410882339705484,57.982756057296896,53.907327887774215,30.463092423455635,69.8927750200262,33.54101966249684,39.6232255123179,55.60575509783138,17.08800749063506,49.09175083453431,21.400934559032695,57.42821606144492,55.60575509783138,52.773099207835045,67.94115100585212,35.12833614050059,61.61980201201558,51.264022471905186,21.2602916254693,56.08029957123981,12.649110640673518,8.06225774829855,60.74537019394976,62.39390995922599,26.248809496813376,22.135943621178654,28.284271247461902,29.0,25.298221281347036,59.81638571495272,13.45362404707371,76.55063683601855,79.75587752636166,61.741396161732524,64.1404708432983,30.4138126514911,67.1863081289633,34.828149534535996,20.615528128088304,45.880278987817846,81.02468759581859,43.46262762420146,18.439088914585774,29.0,36.235341863986875,51.22499389946279,38.01315561749642,55.14526271584895,84.07734534343957,27.018512172212592,44.384682042344295,53.9351462406472,67.23094525588644,45.803929962395145,25.495097567963924,61.032778078668514,51.31276644267,57.0087712549569,27.294688127912362,78.16009211867653,34.92849839314596,83.24061508662703,32.64965543462902,65.06919393998976,48.46648326421054,78.49203781276162
f_8,77.78174593052023,91.00549433962765,41.773197148410844,27.784887978899608,90.55385138137417,122.494897852931,65.49045732013177,87.41853350405736,0.0,25.0,65.92419889539804,73.0,70.51950084905593,118.1905241548577,107.61505470890214,55.00909015790027,89.40357934669059,31.144823004794873,94.54099639838793,99.12618221237011,50.44799302251776,28.30194339616981,101.23734488813898,12.041594578792296,44.91102314577124,57.982756057296896,78.92401408950256,90.00555538409837,84.50443775329198,46.32493928760188,67.26812023536856,83.773504164503,86.45229898620394,72.12489168102785,86.14522621712709,81.00617260431454,98.2344135219425,33.734255586866,26.570660511172846,54.405882034941776,94.86832980505137,45.31004303683677,60.108235708594876,84.8999411071645,91.0823802938856,114.58621208504974,74.16872656315464,79.07591289387686,110.43550153822818,31.906112267087632,71.06335201775947,83.57032966310472,108.07404868885037,87.36131867136622,101.95096860746347,95.08417323613851,25.019992006393608,60.0,30.4138126514911,72.73238618387272,94.54099639838793,83.24061508662703,75.43208866258443,95.44108130150245,33.1058907144937,30.870698080866262,113.6001760562016,70.68238818828917,115.42096863222038,86.83893136145792,63.702433234531945,27.784887978899608,85.56284240252891,93.26306878931231,11.180339887498949,78.44743462982075,85.5102333057278,88.48163651289458,46.17358552246078,85.23496934944014,84.38601779915912,72.61542535852834,84.0535543567314,88.68483523128404,105.4229576515476,97.082439194738,122.78843593759146,40.52159917870962,61.587336360651285,57.28001396647874,89.08984229416954,92.97311439335567,111.51681487560519,63.60031446463138,77.52418977325722,85.0881895447306,95.26804291051643,26.40075756488817,103.36827366266692,67.91170738539859,114.54693361238441,73.10950690573696,69.6419413859206,11.180339887498949,55.31726674375732,26.30589287593181,73.7360156233031,9.219544457292887
f_9,71.19691004531025,67.47592163134935,24.331050121192877,19.72308292331602,84.17244204607586,100.56838469419701,60.166435825965294,69.46221994724903,25.0,0.0,41.14608122288197,70.22819946431775,60.03332407921454,97.65244492586962,88.58893836140041,42.01190307520001,66.48308055437865,36.124783736376884,86.28441342444185,82.54089895318563,32.984845004941285,8.0,87.47571091451616,16.1245154965971,39.92492955535426,38.01315561749642,66.27216610312357,66.27216610312357,62.369864518050704,21.37755832643195,43.01162633521314,59.033888572581766,70.60453243241541,62.07253821135398,81.25269226308751,57.3149195236284,73.24616030891995,31.064449134018133,23.430749027719962,37.8549864614954,71.58910531638176,35.6931365951495,40.24922359499621,59.90826320300064,66.12866246946176,93.81364506296512,50.039984012787215,70.25667228100119,87.20665112249179,21.18962010041709,52.392747589718944,58.69412236331676,88.68483523128404,62.36184731067546,77.07788269017254,90.24411338142782,29.206163733020468,37.64306044943742,29.832867780352597,47.75981574503821,81.04936767180853,58.240879114244144,56.859475903318,77.47257579298626,9.219544457292887,7.211102550927978,94.82615672903758,57.3149195236284,96.25487000666512,63.702433234531945,44.28317965096906,19.72308292331602,64.89992295835181,69.0,13.92838827718412,53.600373133029585,60.67124524847005,65.19202405202648,22.20360331117452,61.40032573203501,62.48199740725323,47.853944456021594,60.8276253029822,82.03657720797473,86.35392289873113,85.28774824088158,102.9271587094485,34.539832078341085,38.2099463490856,32.28002478313795,65.92419889539804,81.2219182240853,87.80091115700337,38.600518131237564,53.03772242470448,60.37383539249432,72.86288492778748,16.1245154965971,78.71467461661771,42.95346318982906,96.66436778875658,50.21951811795888,46.09772228646444,15.811388300841896,37.0,27.586228448267445,48.84669896727925,17.029386365926403
